ET,SX,EX,Episode Title,Rating,Votes,Air Date,Description
38,2,18,Sailor Mouth/Artist Unknown,9.3,804,09/21/2001,"Spongebob and Patrick learn a curse word and begin using it frequently. Squidward decides to teach an art class, but Spongebob is his only student."
39,2,19,Jellyfish Hunter/The Fry Cook Games,9.0,654,09/28/2001,"Jellyfish Hunter: When money hungry Mr. Krabs discovers that customers love SpongeBob's special jellyfish jelly Krabby Patty, he convinces Spongebob to bring him as many of the jellyfish as he can. Spongebob easily brings in herds of the gentle creatures and empties the entire jellyfish field, with the exception of his favorite one, Ol' Buzzy. However, Ol' Buzzy isn't happy with SpongeBob's lack of respect for the jellyfish fields, and hunts after Spongebob to reveal to him the horrible conditions under which Mr. Krabs is keeping all the jellyfish. When SpongeBob ..."
40,2,20,"Squid on Strike/Sandy, SpongeBob, and the Worm",8.8,634,10/12/2001,"Sandy, SpongeBob & The Worm: A large worm is terrorizing Bikini Bottom and SpongeBob is terrified of it. Sandy thinks SpongeBob is chicken and drags him out into the wilderness to take the worm on. When they finally see the worm, it turns out SpongeBob was right - it's ferocious. It chases Sandy and SpongeBob hi and lo. Sandy and SpongeBob run for their lives while fighting over whose fault it is. In the end, they get away and become friends again. Squid of Strike: Believing Mr. Krab is taking advantage, Squidward convinces naive SpongeBob to join with him and ..."
41,3,1,The Algae's Always Greener/SpongeGuard on Duty,8.8,597,03/22/2002,Plankton invents a device that allows him to switch lives with Mr. Krabs. Spongebob decides to become a lifeguard.
42,3,2,Club SpongeBob/My Pretty Seahorse,9.1,719,07/12/2002,"When Squidward tries to gain access to Spongebob and Patrick's ""secret"" club, the three of them end up stranded in the woods. Spongebob decides to adopt a wild seahorse."
43,3,3,Just One Bite/The Bully,9.1,706,10/05/2001,Squidward is forced to eat a Krabby Patty; A large and mean new student joins Mrs. Puff's boating class and immediately decides that he wants to cause bodily harm to SpongeBob.
44,3,4,Nasty Patty/Idiot Box,9.5,952,03/01/2002,"Spongebob and Mr. Krabs believe that they've killed the health inspector, and must dispose of the body. Spongebob and Patrick use their imaginations to play inside of a cardboard box."
45,3,5,Mermaidman and Barnacleboy IV/Doing Time,8.7,566,01/21/2002,"Mermaidman and Barnacleboy IV: Mermaidman and Barnacleboy are eating at the Krusty Krab when Mermaidman accidentally drops his utility belt. SpongeBob finds the belt and can't resist it. He takes it home and tries it on. He plays being Mermaidman for a while and starts touching the buttons. When Patrick comes over he accidentally shrinks him with his laser-shrinking button. When Squidward hears the noise and comes to complain, SpongeBob accidentally shrinks him too. Panicked, he ends up shrinking all of Bikini Bottom. Embarrassed, he has no choice but to go to ..."
46,3,6,Snowball Effect/One Krab's Trash,9.2,672,02/22/2002,Squidward is annoyed by Spongebob and Patrick's antics in the Snow. / Mr. Krabs accidentally sells Spongebob a priceless item and he tries to get it back.
47,3,7,As Seen on TV/Can You Spare a Dime?,8.8,607,03/08/2002,"As Seen on TV: Krabs makes a low budget commercial and SpongeBob is in it for one second. After the commercial airs once at three in the morning, a blind man recognizes SpongeBob. SpongeBob's head blows up and he tells Mr. Krabs that he is going to have to quit the Krusty Krab now that he's a big famous star. Spongebob is convinced that his public needs him. When his public demands that they see him frying Krabby Patties, SpongeBob doesn't think he's anyone to deny them. He ends up cooking patties just like he always has. Can You Spare a Dime?: Squidward is fed up ..."
48,3,8,No Weenies Allowed/Squilliam Returns,9.1,633,03/15/2002,"Spongebob tries to get into the Salty Spitoon, the toughest club in town. Squidward must turn the Krusty Krab into a five-star restaurant in order to impress his nemesis, Squilliam Fancyson."
49,3,9,Krab Borg/Rock-a-Bye Bivalve,9.0,604,03/29/2002,"Krab Borg: SpongeBob stays up late one night watching a sci-fi film where robots take over the world. He comes to work paranoid and Squidward scoffs at him. Through a series of wild coincidences, SpongeBob gets it in his head that Mr. Krabs is a robot and convinces Squidward the same thing, too. In a paranoid fit, SpongeBob and Squidward tie up Mr. Krabs and interrogate him as to where he has put the real Mr. Krabs. Mr. Krabs tries to convince him that it is him, but Squidward and SpongeBob are too deeply involved in the fantasy and abuse Mr. Krabs in order to get the..."
50,3,10,Wet Painters/Krusty Krab Training Video,9.6,"1,090",05/10/2002,Spongebob and Patrick spill paint on Mr. Krabs' first dollar. / Instructional spoof episode of everything about the Krusty Krab Restauraunt.
51,3,11,SpongeBob's House Party (Party Pooper Pants),7.9,602,05/17/2002,"SpongeBob's House Party: SpongeBob, while grocery shopping, discovers a ""how to throw a party"" kit. He decides to throw a big party and invites everyone he's ever known. Unfortunately for his guests, SpongeBob plans everything right down to the minute, sapping all the fun from his party. When he gets accidentally locked outside, the real party begins, but SpongeBob freaks out thinking that his planning isn't being followed. He spends the rest of the episode trying to get back inside his house and failing. When his guests leave the next morning, they tell him what a ..."
52,3,12,Chocolate with Nuts/Mermaidman and Barnacleboy V,9.6,"1,284",05/31/2002,Spongebob and Patrick sell chocolate bars to make money. / Barnacleboy turns evil to protest Mermaidman treating him like a child.
53,3,13,New Student Starfish/Clams,8.8,566,09/20/2002,"New Student Starfish: It's another day of boating school for SpongeBob, and this time, Patrick wants to come along too. Patrick becomes the new student in SpongeBob's class, and from his introduction, begins getting SpongeBob in trouble. Every time Patrick does something wrong, it appears that SpongeBob has done it. In retaliation, Mrs. Puff takes gold stars off of SpongeBob's ""Good Noodle"" chart. Spongebob begins to seriously resent Patrick, to the point where the two of them fight and end up in detention. In the process, the light bulb keeping the class science ..."
54,3,14,SpongeBob B.C. (Before Comedy) (Ugh),8.3,613,03/05/2004,"Millions of years in the past, prehistoric versions of SpongeBob, Patrick and Squidward discover fire and proceed to use it to cook various food items."
55,3,15,The Great Snail Race/Mid-Life Crustacean,8.6,566,01/24/2003,"The Great Snail Race: Squidward gets a pure-bred snail, Snelle, and decides to race her in the snail races. SpongeBob becomes competitive and enters Gary, coaching him to the point of exhaustion. At the races, Gary fizzles out, and Snelle comes to his aid, proving that it's not winning, it's about caring. The race trophy is given to Patrick's race entry - a rock. Mid-Life Crustacean: Mr. Krabs realizes that he is getting old. He's not so hip anymore. He overhears Patrick and SpongeBob hyping up a big night out that they're planning and figures that would be a good way..."
56,3,16,Born Again Krabs/I Had an Accident,8.7,554,10/03/2003,"""Born Again Krabs"": Mr. Krabs refuses to let SpongeBob throw away a moldy Krabby Patty that was festering under the grill. He tries to pawn it off on customers to save the fifty-two cents he would have lost if he threw the patty away. No-one will eat it. Finally, to demonstrate it's still good, Mr. Krabs takes a bite...and ends up hospitalized for food poisoning. The Flying Dutchman comes to take his soul, but Mr. Krabs strikes a bargain with him - let him return to life and prove he's not cheap, and if he fails, he will spend eternity in Davey Jones' locker. ""I Had ..."
57,3,17,Krabby Land/The Camping Episode,9.1,668,04/02/2004,"Mr. Krabs converts the Krusty Krab into an amusement park. Spongebob, Patrick, and Squidward go camping."
58,3,18,Missing Identity/Plankton's Army,8.7,548,01/19/2004,"While at a restaurant, SpongeBob tells of how he once lost his own name tag and spent an entire day trying to hunt down the elusive label; Plankton hires an army who happens to be his redneck cousins."
59,3,19,The Sponge Who Could Fly,8.0,598,03/21/2003,"Lost Episode (The Sponge Who Could Fly): SpongeBob is jellyfishing when he wistfully realizes that he wants to fly with the jellyfish. He proceeds to come up with numerous ways to fly. He and Patrick try everything from constructing a plane to tying SpongeBob to a kite. All of his efforts are fruitless, and he decided to give up. Then, miraculously, he tucks his hair dryer into his pants while he answers the phone, and his pants inflate. He can fly! He uses his ""gift"" to fly around town and help people. But the residents of Bikini Bottom get greedy and demand more and..."
60,3,20,SpongeBob Meets the Strangler/Pranks a Lot,9.1,650,10/11/2004,"Spongebob unknowingly snitches on a notorious strangler, who vows revenge. Later, Spongebob and Patrick prank the whole town by pretending to be ghosts."
61,4,1,Fear of a Krabby Patty/Shell of a Man,8.1,516,05/06/2005,"Fear of a Krabby Patty: The Krusty Krab is now open 24-hours-a-day, which means that the Krusty Krab employees have to work round-the-clock and without a break. At first the prospect of never leaving work is like a dream come true for SpongeBob. But soon the relentless schedule takes its toll, and SpongeBob develops an inexplicable fear of Krabby Patties preventing him from doing his job. Plankton seizes the opportunity and disguises himself as SpongeBob's psychiatrist in an attempt to extract the patty's secret formula from the stressed-out sponge. Shell of a Man: Mr..."
62,4,2,The Lost Mattress/Krabs vs. Plankton,8.4,478,05/13/2005,"the Lost Mattress: SpongeBob hears that Mr. Krabs cannot get a good night sleep on his lumpy mattress, so, with the help of Patrick and Squidward, SpongeBob buys Mr. Krabs a brand new mattress and throws the old one away. Once Mr. Krabs learns of the switch, he falls into a ""cash coma"" - all of Mr. Krabs' money was hidden in that old mattress. In order to revive their boss (and avoid possible jail time) SpongeBob, Squidward and Patrick must retrieve the mattress from the city dump, but first they have to get past the ferocious guard-worm that's sleeping on top of it. ..."
63,4,3,Have You Seen This Snail?,8.5,566,11/11/2005,"Have You Seen This Snail?: While trying to beat a paddle-ball world record, SpongeBob forgets to feed Gary-for several weeks. So Gary runs away to downtown Bikini Bottom where he is taken in by a kindly old woman who confuses him with one of her many deceased pets. Once SpongeBob realizes that he has neglected Gary, he sets out in a town-wide search for him. Meanwhile, as Gary is wrapped in comfy blankets and indulged in and endless assortment of snacks, he discovers a very dark secret about this sweet old woman..."
64,4,4,Skill Crane/Good Neighbors,7.6,467,05/27/2005,"Skill Crane: When a Skill Crane is installed in the Krusty Krab, Squidward becomes obsessed with winning a stuffed animal from the machine. It's not long before he spends all of his money and the deed to his house on the Skill Crane-and still he can't win anything. Taking pity on his neighbor, SpongeBob, Skill Crane Champion, teaches Squidward his technique. The lesson works, and Squdward finally wins a prize. With his newfound confidence Squidward gets a little over zealous, and tries to apply his skills to a real construction crane with disastrous results. Good ..."
65,4,5,Selling Out/Funny Pants,7.6,411,09/23/2005,"Selling Out: Mr. Krabs sells his restaurant to a conglomerate that plans to turn the Krusty Krab into a big corporate chain. At first the sell out brings the kind of peace and quiet Mr. Krabs always wanted. But his early retirement quickly turns into nothing more than one boring day after another, and Mr. Krabs finds himself living a life without purpose. So he takes a job as a busboy at the Krusty Krab only to find that it has been transformed into a heartless mockery of his former restaurant. With the help of SpongeBob and Squidward, Mr. Krabs stages a fast food ..."
66,4,6,Dunces and Dragons,8.2,498,02/20/2006,"Dunces and Dragons: After a freak jousting accident at a Medieval Times-style restaurant, SpongeBob and Patrick are transported to a medieval version of Bikini Bottom. There they are mistaken for great knights and sent on a quest by King Krabs to rescue his daughter, the Princess Pearl, from the clutches of the evil wizard Planktonamor. To keep them company, the King sends along Squidward, the court jester (who was recently thrown in the dungeon for not being funny). The first obstacle they encounter is the dreaded Black Knight, an ornery squirrel who fights under the..."
67,4,7,Enemy In-Law/Mermaidman and Barnacleboy VI: The Motion Picture,8.0,420,10/07/2005,"Enemy-In-Law: Mr. Krabs' Mom is dating again, and it seems like things could be serious. Mr. Krabs tries to be happy for his mother, but he is absolutely horrified when he learns that the secret paramour is his arch-rival Plankton! Convinced that this just another trick aimed at getting the family formula for Krabby Patties, Mr. Krabs tries to reveal Plankton's schemes and breakup the ill-favored fling. Mermaidman and Barnacleboy VI: The Motion Picture: The adventures of Mermaidman and Barnacleboy are being told in a thrilling new motion picture. But as SpongeBob and ..."
68,4,8,Patrick SmartPants/SquidBob TentaclePants,7.7,442,10/21/2005,Patrick SmartPants: Patrick becomes smart after getting hit on the head. SquidBob TentaclePants: Sandy's experiment turns Squidward and SpongeBob into one body.
69,4,9,"Krusty Towers/Mrs. Puff, You're Fired",8.6,564,04/01/2006,Mr. Krabs turns the Krusty Krab into a hotel; SpongeBob's record of failed boating tests caused Mrs. Puff to lose her job.
70,4,10,Chimps Ahoy/Ghost Host,7.6,414,05/05/2006,SpongeBob and Patrick have to take over some of Sandy's responsibilities to take some of the pressures off while she prepares for a visit from the chimps; The Flying Dutchman can't control his shapeshifting powers to haunt people.
71,4,11,Whale of a Birthday/Karate Island,7.4,465,05/12/2006,Mr. Krabs wants to throw a birthday party for Pearl; SpongeBob receives an invitation to take part in a competition.
72,4,12,All That Glitters/Wishing You Well,7.3,417,06/02/2006,"All That Glitters: During an intense day on the job, SpongeBob's spatula breaks mid patty-flip. With his favorite kitchen implement out of commission, SpongeBob searches for a temporary replacement. Enter ""Le Spatula,"" the latest in state-of-the-art cooking tools. The sleek and modern Le Spatula dazzles SpongeBob so completely that he will do anything to own one. But will this fancy gadget fill the void that was left by his old trusty spatula? Wishing You Well: When a wishing well is installed near the Krusty Krab, Mr. Krabs sends SpongeBob down in a bucket to collect..."
73,4,13,New Leaf/Once Bitten,7.5,362,09/22/2006,Plankton decides to give up on the Chum Bucket and opens a gift shop; Bikini Botton falls into a mass hysteria after Gary begins biting everyone in town.
74,4,14,Bummer Vacation/Wigstruck,7.3,374,10/13/2006,"Bummer Vacation: Mr. Krabs is about to be fined for unfair labor practices. It turns out that in all the years he has been working at the Krusty Krab, SpongeBob has never taken a vacation. So Mr. Krabs makes his #1 employee take the day off. But SpongeBob's vacation soon turns into a nightmare. He just can't stand being away from his favorite place. SpongeBob eventually tries infiltrating the kitchen to give the temp help (Patrick) useful tips on flipping patties. But each attempt is thwarted by Mr. Krabs who kicks SpongeBob out of the restaurant. Wigstruck: SpongeBob..."
75,4,15,Squidtastic Voyage/That's No Lady,7.3,371,10/06/2006,"Squidtastic Voyage: When Squidward swallows his clarinet reed Sandy offers to retrieve the piece by shrinking herself and a mini sub down to microscopic proportions and traveling into Squidward's body. But to Squidward's horror, SpongeBob and Patrick accidentally end up in the mini-drivers seat of the sub and continue the mission on their own. That's No Lady: A misunderstanding over a vacation getaway advertisement causes Patrick to think he must ""get out of town"" or face dire consequences. SpongeBob can't bear the thought of his best buddy moving away, so he decides ..."
76,4,16,The Thing/Hocus Pocus,7.2,363,01/15/2007,"The Thing: After a freak bicycling accident, Squidward is coated in so much mud, leaves, branches and gunk to make him totally unrecognizable. The residents of Bikini Bottom think that Squidward is some sort of monster come to terrorize the town. But SpongeBob thinks he's kind of cute, so he adopts Squidward and tries to raise him as his pet. Hocus Pocus: After practicing all day with his brand new magic kit, SpongeBob tries to impress Squidward with his newfound abilities. Of course Squidward, being the ever reluctant participant, sneaks away without SpongeBob ..."
77,4,17,Driven to Tears/Rule of Dumb,7.0,344,02/19/2007,"Driven to Tears: SpongeBob has failed his driving test-again. Patrick is so outraged by the injustice of it all that he storms into the testing facility and takes the test to prove that it is an unfair test and impossible to pass. Only Patrick DOES pass, and now he's getting his license. But that's not all. Because Patrick is the 1-millionth customer at the DMV, he is awarded a brand new car! SpongeBob tries to be happy for his pal. But watching Patrick abuse his driving privilege and disobey common driving 101 rules makes the Sponge's blood boil. Rule of Dumb: An ..."
78,4,18,Born to Be Wild/Best Frenemies,7.8,374,03/31/2007,"Born to be Wild: SpongeBob hears that a ferocious biker gang is coming to town, only no one in Bikini Bottom seems bothered by the news. So SpongeBob dons his leather jacket, warms up his bike, and prepares to protect the town all by himself. Best Frenemies: A new Kelp Smoothie chain is opening up all over Bikini Bottom. The chain's smoothies are so delicious that soon everyone in town can be seen drinking one. But now that customers already have their smoothie, they don't need to buy a beverage with their Krusty Krab order. This could hurt Mr. Krabs' profits, and if ..."
79,4,19,The Pink Purloiner/Squid Wood,7.2,350,02/19/2007,"The Pink Purloiner: SpongeBob's favorite jellyfishing net is missing! And worst of all, Patrick may have been the one that stole it. But SpongeBob can't accuse his friend of anything until he can find some hard evidence that the starfish does indeed have the net. Squid Wood: Rejected yet again by Squidward, SpongeBob decides that if he can't hang with the real Squidward, he'll make his own. So SpongeBob builds a ventriloquist dummy modeled after his favorite neighbor. At first Squidward is pleased that SpongeBob is distracted by this mini Squidward. But eventually ..."
80,4,20,Best Day Ever/The Gift of Gum,6.9,441,11/10/2006,"Best Day Ever: SpongeBob is going to have the best day ever. First he gets to work at the Krusty Krab. Then he is going to meet Sandy for a little Ka-Ra-Tay, followed by jellyfishing with Patrick, and Squidward's clarinet recital. But the day does not go exactly as planned. Each of his friends is having a problem which SpongeBob naturally sets out to solve. But this costs him every item on his perfect agenda. When a disappointed SpongeBob realizes that his entire day has been sacrificed, his friends rally around him to give their thanks and make sure his day really is..."
81,5,1,Friend or Foe,8.1,457,04/13/2007,"Mr. Krabs and Plankton have been business rivals and bitter enemies for longer than anyone can remember, but, one day, during another one of Plankton's failed attempts at stealing the Krabby Patty formula, Mr. Krabs reveals that they were not always this way. There was a time when the two rivals were actually the best of friends. Through a series of flashbacks, Mr. Krabs tells the tale of how that great friendship turned sour, and how the Krabby Patty was born in the process."
82,5,2,The Original Fry Cook/Night Light,7.3,387,07/30/2007,"The Original Fry Cook: Mr. Krab's old fry cook pays a special visit to the Krusty Krab. SpongeBob is in awe of his predecessor, who has since become a world renowned chef following his departure from Krabs' restaurant. When SpongeBob tries to impress the impressive chef, he instead finds his fry cook skills are in question. Taking the chef's critique to heart, SpongeBob decides to quit - his beloved Krusty Krab deserves someone better. Without his employee of the month, Krabs is stuck with an overpriced chef that will charge him an arm and a leg to flip one burger. He..."
83,5,3,Rise and Shine/Waiting/Fungus Among Us,6.4,369,02/19/2007,"Rise and Shine: Take a look inside Patrick Star's rock where we see that his morning routine is anything but ordinary. Waiting: SpongeBob discovers that his breakfast cereal has an offer for free toy. After gathering the necessary proofs of purchase, SpongeBob mails his requests. But now the hardest part is upon him: waiting for the toy to arrive. So SpongeBob sets up camp right next to his mailbox, determined to be present when the mailman shows up with his treasure."
84,5,4,Spy Buddies/Boat Smarts/Good Ol' Whatshisname,7.1,350,07/23/2007,"Spy Buddies: Determined to uncover Plankton's next devious plot, Mr. Krabs sends SpongeBob and Patrick to spy on him. Boat Smarts: Watch an instructional video on the best (and worst) boating techniques as demonstrated by Squidward and SpongeBob. Good Ol' Whatshisname: Mr. Krabs holds a contest for his employees: The first one to learn the names of every Krusty Krab customer wins a tropical vacation."
85,5,5,New Digs/Krabs á la Mode,8.1,370,07/25/2007,"New Digs: After arriving one minute late for work, SpongeBob decides to move into the Krusty Krab so that he will never be late to work again. Krabs a la Mode: When Plankton secretly turns down the thermostat at the Krusty Krab the entire restaurant freezes over. But with a couple of frozen Krabby Patties tied to his shoes for skates, SpongeBob turns the frozen floor into an ice skating rink - and Mr. Krabs charges money for it."
86,5,6,"Roller Cowards/Bucket, Sweet Bucket",8.0,360,07/27/2007,"Roller Cowards: The scariest roller coaster ever has just opened at Bikini Bottom's amusement park. At first SpongeBob and Patrick are determined to ride this monster coaster. But the more they think about how scary it is the more they chicken out. Bucket, Sweet Bucket: Plankton tricks SpongeBob, Patrick and Squidward into fixing up the Chum Bucket with a series of sob stories."
87,5,7,To Love a Patty/Breath of Fresh Squidward,5.8,404,07/26/2007,SpongeBob has trouble letting go of a perfect krabby patty; Squidward's personality changes when his security fence electrocutes him.
88,5,8,Money Talks/SpongeBob vs. The Patty Gadget/Slimy Dancing,7.0,336,07/31/2007,"Money Talks: Mr. Krabs makes a wish that he could talk to money. When his wish is magically granted, Mr. Krabs learns (to his horror) what all of his dollars, pennies and quarters have been longing for: they want Mr. Krabs to spend them. SpongeBob vs. Patty Gadget: SpongeBob competes against a patty-making machine. It's SpongeBob vs. a robot fry cook to see who's best, sponge or machine? Slimy Dancing: Squidward trains SpongeBob for the Bikini Bottom dance contest and ends up hiding inside SpongeBob during the dance competition."
89,5,9,The Krusty Sponge/Sing a Song of Patrick,7.7,349,02/19/2007,"The Krusty Sponge: SpongeBob becomes the latest local obsession after a notable food critic gives him high ratings. Now Mr. Krabs is looking to cash in on the fad by making everything in the Krusty Krab Sponge-themed. Sing a Song of Patrick: SpongeBob helps Patrick get his song some air time at the local radio station. But the song Patrick wrote is so bad, an angry mob attacks him."
90,5,10,A Flea in Her Dome/The Donut of Shame/The Krusty Plate,7.1,339,08/01/2007,"A Flea in Her Dome: Sandy comes back from Texas with fleas and SpongeBob and Patrick try to help Sandy rid her Tree Dome of them. The Donut of Shame: When Patrick accidentally takes SpongeBob's donut he is wracked with guilt over his heinous crime. The Krusty Plate: During an evening of washing dishes at the Krusty Krab, SpongeBob battles a persistent speck of food that is affixed to one of the dinner plates."
